recoleccion_id,usuario_id,punto_verde_id,fecha_recoleccion,tipo_residuo,peso_kg
97,8,PV032,9/2/2025,Madera,7.37
98,47,PV007,8/1/2025,Aceite Vegetal Usado,11.13
99,160,PV035,2/27/2026,Textiles,36.63
100,31,PV024,1/10/2026,Papel,20.67
101,192,PV038,7/19/2025,Plastico,3.03
102,146,PV011,10/19/2025,Carton,31.65
103,167,PV004,4/14/2026,Capsulas de Café,0.26
104,140,PV043,12/23/2025,Botellas de Amor,39.69
105,102,PV010,9/11/2025,Latas,35.89
106,138,PV004,7/30/2025,Telgopor,8.62
107,197,PV042,1/30/2026,Vidrio,4.08
108,37,PV035,7/29/2025,Papel,33.78
109,193,PV042,10/28/2025,Madera,39.62
110,180,PV036,12/19/2025,Papel,33.55
111,130,PV041,6/5/2026,Botellas de Amor,9.14
112,17,PV038,3/17/2026,Papel,17.99
113,48,PV037,2/26/2026,Aceite Vegetal Usado,34.76
114,200,PV007,1/19/2026,Plastico,26.58
115,129,PV022,12/19/2025,Residuos Organicos,24.21
116,29,PV020,8/27/2025,Textiles,36.12
117,47,PV004,4/12/2026,Telgopor,11.87
118,196,PV042,5/13/2026,RAEEs,4.47
119,151,PV044,1/25/2026,Madera,3.83
120,31,PV003,3/9/2026,RAEEs,16.3
121,125,PV034,2/2/2026,Plastico,30.51
122,120,PV012,5/24/2026,Textiles,26.03
123,92,PV001,5/30/2026,Residuos Organicos,37.84
124,59,PV002,11/4/2025,RAEEs,23.99
125,138,PV032,9/27/2025,Aceite Vegetal Usado,30.71
126,74,PV044,11/21/2025,RAEEs,20.81
127,10,PV008,1/5/2026,Aceite Vegetal Usado,24.73
128,171,PV038,1/2/2026,Aceite Vegetal Usado,33.9
129,148,PV039,7/22/2025,Vidrio,20.46
130,50,PV005,8/3/2025,Envases PET,10.06
131,52,PV019,10/24/2025,Capsulas de Café,6.68
132,152,PV037,2/13/2026,Aceite Vegetal Usado,1.44
133,70,PV008,4/6/2026,RAEEs,26.6
134,191,PV024,1/24/2026,Latas,3.17
135,95,PV013,3/31/2026,Carton,26.95
136,120,PV028,5/19/2026,Residuos Organicos,6.3
137,156,PV038,2/22/2026,Vidrio,12.06
138,34,PV024,4/18/2026,Metal,10.47
139,16,PV026,1/24/2026,Telgopor,39.01
140,27,PV017,9/28/2025,Aceite Vegetal Usado,16.2
141,13,PV007,3/13/2026,Madera,7.22
142,96,PV029,8/31/2025,Vidrio,38.97
143,44,PV017,4/23/2026,Telgopor,30.12
144,69,PV003,8/3/2025,Madera,33.13
145,80,PV008,2/5/2026,Madera,18.03
146,191,PV044,1/24/2026,Aceite Vegetal Usado,10.92
147,155,PV039,10/2/2025,Residuos Organicos,17.23
148,170,PV018,3/9/2026,Carton,39.91
149,127,PV021,5/26/2026,Telgopor,23.19
150,84,PV017,11/12/2025,Telgopor,9.97
151,118,PV003,11/8/2025,Metal,30.63
152,17,PV025,10/24/2025,Plastico,39.15
153,132,PV006,10/29/2025,Aceite Vegetal Usado,3.79
154,10,PV011,8/4/2025,Textiles,31.29
155,121,PV029,12/13/2025,Metal,21.94
156,82,PV026,3/18/2026,Plastico,28.45
157,8,PV022,12/30/2025,Botellas de Amor,21.55
158,195,PV021,10/17/2025,Telgopor,29.29
159,8,PV045,2/13/2026,Vidrio,11.64
160,25,PV044,2/6/2026,Botellas de Amor,3.09
161,197,PV032,9/11/2025,Capsulas de Café,19.91
162,183,PV005,9/19/2025,Papel,19.2
163,190,PV002,4/27/2026,Latas,36.98
164,10,PV017,9/5/2025,Latas,37.73
165,70,PV043,4/24/2026,Metal,21.36
166,125,PV002,3/19/2026,Telgopor,11.63
167,175,PV025,10/20/2025,Residuos Organicos,4.74
168,71,PV041,5/29/2026,Capsulas de Café,37.3
169,98,PV014,3/2/2026,Aceite Vegetal Usado,15.77
170,177,PV024,12/29/2025,Metal,6.64
171,48,PV029,9/5/2025,Chatarra,4.03
172,65,PV035,5/13/2026,Capsulas de Café,32.73
173,32,PV030,8/31/2025,Vidrio,37.86
174,186,PV017,7/20/2025,Telgopor,10.24
175,38,PV021,5/9/2026,Madera,1.99
176,74,PV019,7/21/2025,Aceite Vegetal Usado,2.71
177,38,PV038,5/6/2026,Plastico,9.32
178,90,PV033,7/13/2025,Latas,30.3
179,73,PV037,7/1/2025,Envases PET,37.06
180,41,PV001,1/19/2026,Latas,18.9
181,10,PV037,10/25/2025,Metal,21.26
182,13,PV022,3/12/2026,Envases PET,27.44
183,116,PV018,10/4/2025,Chatarra,10.01
184,149,PV040,3/6/2026,Papel,10.89
185,164,PV032,4/5/2026,Envases PET,9.37
186,160,PV003,8/24/2025,Latas,13.22
187,61,PV010,2/22/2026,Envases PET,25.11
188,122,PV041,7/16/2025,Residuos Organicos,1.03
189,144,PV018,11/28/2025,Envases PET,27.73
190,31,PV026,5/13/2026,Vidrio,21.9
191,90,PV030,8/20/2025,Metal,33.31
192,179,PV017,3/25/2026,Madera,38.2
193,154,PV018,9/25/2025,Papel,0.62
194,192,PV011,12/23/2025,Residuos Organicos,20.89
195,172,PV019,11/11/2025,RAEEs,7.27
196,155,PV039,7/28/2025,Textiles,37.79
197,94,PV001,2/25/2026,Botellas de Amor,27.45
198,106,PV010,1/20/2026,Plastico,11.28
199,145,PV041,10/31/2025,Metal,29.2
200,134,PV034,10/27/2025,Envases PET,14.37
201,28,PV002,5/7/2026,Papel,0.97
202,156,PV038,4/30/2026,Carton,19.73
203,159,PV004,7/1/2025,Latas,24.29
204,137,PV032,7/22/2025,Madera,16.42
205,130,PV009,8/23/2025,RAEEs,0.68
206,142,PV044,3/7/2026,Capsulas de Café,13.77
207,163,PV034,1/6/2026,Envases PET,21.32
208,155,PV044,7/3/2025,Plastico,5.13
209,4,PV028,9/28/2025,Vidrio,15.79
210,104,PV028,12/10/2025,Telgopor,14.18
211,150,PV005,8/10/2025,Aceite Vegetal Usado,12.15
212,191,PV024,4/6/2026,Botellas de Amor,24.16
213,85,PV005,4/27/2026,Carton,9.09
214,47,PV026,3/2/2026,Aceite Vegetal Usado,6.23
215,25,PV034,5/13/2026,Envases PET,28.15
216,149,PV027,5/2/2026,Textiles,29.06
217,71,PV032,2/16/2026,Chatarra,12.12
218,16,PV001,5/27/2026,Envases PET,14.6
219,119,PV005,7/16/2025,Metal,22.59
220,101,PV019,4/23/2026,Latas,33.49
221,196,PV004,3/1/2026,Botellas de Amor,8.1
222,72,PV038,9/14/2025,Textiles,3.54
223,56,PV031,5/19/2026,Madera,22.54
224,25,PV023,8/23/2025,Vidrio,30.21
225,47,PV020,8/28/2025,Textiles,1.89
226,193,PV042,2/7/2026,Latas,37.95
227,195,PV044,10/25/2025,Residuos Organicos,4.21
228,10,PV044,1/22/2026,Papel,2.57
229,120,PV024,3/8/2026,Carton,6.97
230,99,PV013,9/2/2025,Madera,14.06
231,121,PV020,7/31/2025,RAEEs,9.73
232,95,PV020,9/20/2025,Botellas de Amor,35.9
233,145,PV031,3/24/2026,Papel,26.78
234,18,PV033,5/23/2026,Botellas de Amor,24.65
235,150,PV036,1/6/2026,Envases PET,15.21
236,140,PV031,10/10/2025,Metal,6.03
237,50,PV005,3/2/2026,Latas,22.14
238,12,PV034,7/20/2025,Capsulas de Café,7.49
239,53,PV037,9/21/2025,Telgopor,34.38
240,36,PV038,1/29/2026,Envases PET,33.91
241,128,PV001,2/4/2026,Residuos Organicos,10.36
242,175,PV023,8/16/2025,Latas,28.63
243,189,PV045,9/20/2025,Metal,8.09
244,88,PV011,11/27/2025,RAEEs,21.92
245,107,PV011,8/30/2025,Chatarra,32.99
246,111,PV006,3/30/2026,Textiles,20.0
247,2,PV028,7/7/2025,RAEEs,14.2
248,39,PV002,12/28/2025,Vidrio,29.52
249,20,PV020,5/4/2026,Carton,28.77
250,93,PV031,3/21/2026,Residuos Organicos,36.41
251,198,PV038,12/26/2025,Latas,27.41
252,135,PV011,4/25/2026,Residuos Organicos,17.31
253,87,PV019,4/14/2026,Chatarra,34.93
254,141,PV025,10/12/2025,Vidrio,11.64
255,71,PV022,11/10/2025,Latas,12.76
256,190,PV017,1/18/2026,Telgopor,5.42
257,104,PV023,11/3/2025,Vidrio,26.09
258,131,PV015,3/15/2026,RAEEs,14.76
259,58,PV042,3/14/2026,RAEEs,38.97
260,76,PV037,7/8/2025,Metal,23.27
261,74,PV006,10/27/2025,RAEEs,18.43
262,182,PV037,5/13/2026,Envases PET,7.88
263,45,PV035,1/25/2026,Plastico,0.58
264,121,PV011,5/24/2026,Plastico,9.69
265,58,PV006,7/16/2025,Residuos Organicos,37.41
266,48,PV027,3/14/2026,Carton,18.21
267,67,PV037,11/20/2025,Papel,14.2
268,143,PV023,4/25/2026,Metal,17.88
269,107,PV043,3/22/2026,Aceite Vegetal Usado,21.85
270,139,PV009,9/14/2025,Residuos Organicos,15.66
271,42,PV018,8/4/2025,RAEEs,3.68
272,180,PV021,4/22/2026,Textiles,24.56
273,176,PV019,9/20/2025,Papel,33.63
274,186,PV030,11/29/2025,RAEEs,1.34
275,52,PV032,11/18/2025,RAEEs,36.48
276,30,PV024,5/22/2026,Residuos Organicos,38.99
277,145,PV027,7/26/2025,Residuos Organicos,27.66
278,130,PV019,12/15/2025,Madera,16.56
279,72,PV044,7/14/2025,Residuos Organicos,20.75
280,72,PV017,5/23/2026,Metal,8.47
281,185,PV028,1/5/2026,Papel,23.33
282,99,PV012,2/16/2026,Residuos Organicos,12.07
283,12,PV018,3/11/2026,Aceite Vegetal Usado,31.8
284,139,PV043,12/15/2025,Metal,2.94
285,200,PV004,3/19/2026,Vidrio,23.45
286,190,PV005,7/26/2025,Latas,15.8
287,94,PV015,3/5/2026,Capsulas de Café,32.29
288,161,PV043,6/4/2026,Aceite Vegetal Usado,37.65
289,65,PV044,11/30/2025,Residuos Organicos,29.79
290,131,PV016,1/14/2026,Papel,20.93
291,150,PV008,3/31/2026,Metal,5.16
292,22,PV034,4/28/2026,RAEEs,29.96
293,188,PV001,12/31/2025,Madera,24.41
294,38,PV040,7/3/2025,Metal,30.21
295,5,PV042,11/7/2025,Botellas de Amor,32.24
296,121,PV034,10/19/2025,Residuos Organicos,29.46
297,39,PV023,12/25/2025,Residuos Organicos,39.86
298,12,PV018,9/29/2025,Chatarra,1.33
299,7,PV004,9/3/2025,Vidrio,10.17
300,168,PV001,2/7/2026,Plastico,9.33
301,87,PV011,10/7/2025,Telgopor,13.07
302,38,PV044,8/7/2025,Residuos Organicos,3.69
303,55,PV002,8/6/2025,Textiles,15.46
304,188,PV004,4/1/2026,Capsulas de Café,20.79
305,27,PV002,9/19/2025,Botellas de Amor,19.89
306,154,PV004,5/25/2026,Plastico,15.89
307,94,PV007,5/14/2026,Chatarra,37.79
308,154,PV026,9/2/2025,Residuos Organicos,26.88
309,76,PV037,4/3/2026,Botellas de Amor,7.98
310,78,PV017,2/15/2026,Madera,33.15
311,192,PV021,10/19/2025,Latas,34.16
312,94,PV033,2/28/2026,Chatarra,17.39
313,154,PV038,8/9/2025,Envases PET,15.12
314,198,PV030,5/3/2026,Capsulas de Café,32.69
315,142,PV007,10/31/2025,Carton,29.77
316,42,PV002,1/28/2026,Vidrio,21.22
317,134,PV038,7/20/2025,Madera,22.79
318,122,PV020,9/25/2025,Carton,15.99
319,124,PV027,12/8/2025,Textiles,5.3
320,168,PV002,11/21/2025,Telgopor,10.79
321,45,PV007,9/5/2025,Plastico,3.3
322,179,PV011,3/10/2026,Aceite Vegetal Usado,19.4
323,76,PV019,10/16/2025,RAEEs,30.11
324,100,PV008,10/18/2025,Carton,36.93
325,74,PV014,7/10/2025,Vidrio,33.76
326,62,PV012,8/14/2025,Papel,24.09
327,113,PV032,11/12/2025,Botellas de Amor,6.05
328,153,PV031,11/14/2025,Residuos Organicos,10.7
329,73,PV029,11/15/2025,Plastico,32.0
330,167,PV028,5/19/2026,Papel,25.31
331,35,PV008,12/9/2025,Plastico,38.27
332,133,PV004,1/29/2026,Vidrio,33.23
333,138,PV011,3/24/2026,Capsulas de Café,36.87
334,188,PV012,3/25/2026,Carton,38.77
335,32,PV021,8/19/2025,Madera,27.14
336,38,PV037,1/4/2026,Papel,12.58
337,178,PV020,5/11/2026,Plastico,12.9
338,117,PV023,3/3/2026,Plastico,25.2
339,104,PV004,10/13/2025,Chatarra,15.64
340,93,PV003,10/24/2025,Chatarra,34.74
341,195,PV035,10/11/2025,Papel,30.76
342,178,PV044,2/16/2026,Aceite Vegetal Usado,34.88
343,89,PV026,11/11/2025,Botellas de Amor,17.52
344,103,PV020,12/7/2025,Chatarra,7.59
345,103,PV007,2/10/2026,Metal,9.76
346,33,PV033,9/8/2025,Vidrio,32.94
347,147,PV009,11/9/2025,Botellas de Amor,21.35
348,190,PV006,10/11/2025,Envases PET,21.93
349,125,PV021,1/9/2026,Botellas de Amor,9.14
350,147,PV024,5/14/2026,Latas,11.44
351,55,PV040,7/6/2025,Papel,39.59
352,147,PV042,10/24/2025,Textiles,12.79
353,33,PV028,12/23/2025,Capsulas de Café,5.07
354,35,PV021,10/8/2025,Plastico,21.17
355,81,PV029,10/17/2025,Botellas de Amor,9.8
356,87,PV007,3/14/2026,Envases PET,11.68
357,24,PV002,4/15/2026,Vidrio,35.97
358,88,PV024,3/16/2026,Chatarra,4.13
359,182,PV009,12/18/2025,Textiles,25.43
360,81,PV045,4/20/2026,Envases PET,17.12
361,191,PV019,1/16/2026,Carton,21.2
362,114,PV026,7/16/2025,Metal,25.84
363,37,PV006,4/29/2026,Papel,34.38
364,4,PV043,12/19/2025,Vidrio,30.25
365,82,PV040,3/28/2026,Plastico,26.04
366,104,PV006,9/16/2025,Vidrio,15.05
367,113,PV009,3/19/2026,Metal,1.94
368,84,PV039,1/19/2026,Metal,12.23
369,160,PV008,2/5/2026,Capsulas de Café,38.28
370,118,PV023,12/7/2025,Plastico,35.08
371,156,PV007,1/10/2026,Carton,7.32
372,24,PV034,9/12/2025,Botellas de Amor,29.26
373,162,PV022,2/8/2026,Vidrio,0.96
374,41,PV019,7/17/2025,Carton,17.75
375,53,PV024,1/15/2026,Latas,28.93
376,114,PV019,5/6/2026,Telgopor,1.57
377,196,PV019,11/16/2025,Papel,18.06
378,179,PV026,11/13/2025,Madera,35.87
379,132,PV026,3/30/2026,Vidrio,5.21
380,58,PV016,7/31/2025,Residuos Organicos,28.12
381,50,PV011,9/28/2025,Botellas de Amor,27.21
382,17,PV035,11/5/2025,Carton,37.6
383,13,PV001,8/31/2025,Envases PET,33.27
384,10,PV019,1/3/2026,Carton,35.44
385,128,PV003,5/18/2026,Textiles,16.25
386,197,PV044,7/6/2025,Metal,17.82
387,115,PV004,8/12/2025,Madera,18.37
388,119,PV036,9/13/2025,Capsulas de Café,17.13
389,53,PV044,11/25/2025,Madera,11.72
390,44,PV040,2/20/2026,Botellas de Amor,36.37
391,20,PV028,4/27/2026,Envases PET,33.66
392,87,PV029,5/10/2026,Chatarra,36.15
393,98,PV012,8/16/2025,Carton,1.58
394,33,PV026,7/16/2025,Aceite Vegetal Usado,18.53
395,154,PV020,11/2/2025,Aceite Vegetal Usado,26.27
396,168,PV019,8/27/2025,Papel,32.65
397,154,PV027,7/22/2025,Capsulas de Café,22.22
398,153,PV015,6/6/2026,Residuos Organicos,2.51
399,157,PV020,11/1/2025,Plastico,30.61
400,147,PV007,9/10/2025,RAEEs,37.08
401,26,PV026,4/6/2026,RAEEs,16.35
402,115,PV039,11/21/2025,Vidrio,35.54
403,81,PV025,9/17/2025,Chatarra,9.35
404,88,PV037,1/18/2026,Plastico,24.11
405,66,PV012,6/6/2026,Papel,20.55
406,194,PV032,1/8/2026,Capsulas de Café,10.07
407,169,PV035,9/26/2025,Aceite Vegetal Usado,11.25
408,71,PV022,1/26/2026,Papel,19.86
409,1,PV040,7/4/2025,RAEEs,23.3
410,187,PV038,8/31/2025,Botellas de Amor,10.13
411,171,PV004,11/6/2025,Madera,26.52
412,116,PV044,3/1/2026,Carton,2.24
413,165,PV045,8/8/2025,Madera,12.54
414,105,PV006,5/24/2026,Madera,28.05
415,28,PV024,10/6/2025,Vidrio,20.05
416,5,PV022,10/8/2025,Telgopor,0.65
417,51,PV022,4/25/2026,Envases PET,37.24
418,13,PV015,5/4/2026,Plastico,15.24
419,37,PV042,5/1/2026,Chatarra,15.11
420,55,PV040,11/11/2025,Latas,18.92
421,197,PV043,1/21/2026,RAEEs,20.43
422,37,PV024,5/18/2026,Telgopor,36.63
423,186,PV006,5/10/2026,Vidrio,4.1
424,161,PV033,5/23/2026,Latas,3.49
425,98,PV023,4/19/2026,Carton,18.12
426,170,PV005,9/21/2025,Plastico,32.55
427,79,PV001,4/4/2026,RAEEs,20.87
428,158,PV031,7/22/2025,RAEEs,18.02
429,79,PV011,10/27/2025,Textiles,37.12
430,54,PV018,3/3/2026,Capsulas de Café,18.07
431,141,PV039,10/31/2025,Latas,27.44
432,44,PV031,9/21/2025,Residuos Organicos,0.34
433,53,PV045,8/13/2025,Textiles,1.15
434,194,PV021,2/19/2026,Latas,38.89
435,154,PV018,1/27/2026,Botellas de Amor,21.19
436,76,PV021,8/14/2025,Carton,12.6
437,190,PV039,5/14/2026,Madera,2.69
438,9,PV036,3/28/2026,Chatarra,36.0
439,49,PV028,1/6/2026,Residuos Organicos,7.87
440,62,PV007,5/15/2026,Latas,9.47
441,48,PV044,3/21/2026,Madera,8.45
442,61,PV021,8/26/2025,Capsulas de Café,11.6
443,60,PV041,12/2/2025,Chatarra,28.37
444,59,PV004,4/9/2026,Textiles,5.12
445,172,PV045,7/5/2025,Chatarra,18.49
446,120,PV007,8/30/2025,Telgopor,8.36
447,110,PV012,8/31/2025,Chatarra,11.57
448,152,PV027,9/7/2025,Carton,34.36
449,102,PV024,4/2/2026,Residuos Organicos,19.93
450,109,PV005,4/17/2026,Capsulas de Café,5.74
451,34,PV017,3/14/2026,Textiles,6.06
452,193,PV019,10/9/2025,Latas,17.78
453,17,PV018,10/21/2025,Metal,33.32
454,38,PV043,9/11/2025,Papel,36.49
455,92,PV020,8/21/2025,Capsulas de Café,10.5
456,126,PV001,8/7/2025,Telgopor,26.76
457,56,PV041,11/2/2025,Latas,35.77
458,162,PV043,5/19/2026,Residuos Organicos,35.65
459,72,PV004,1/6/2026,Botellas de Amor,14.9
460,118,PV005,4/8/2026,Capsulas de Café,28.15
461,35,PV043,4/19/2026,Chatarra,2.51
462,101,PV045,5/27/2026,Capsulas de Café,34.85
463,25,PV035,8/5/2025,Metal,8.5
464,130,PV044,3/1/2026,Latas,21.09
465,74,PV004,12/16/2025,Capsulas de Café,26.97
466,30,PV002,1/11/2026,Carton,10.41
467,11,PV018,12/28/2025,Botellas de Amor,17.52
468,44,PV037,5/14/2026,Plastico,13.01
469,158,PV003,5/15/2026,Madera,28.27
470,190,PV035,10/7/2025,Capsulas de Café,3.22
471,163,PV029,2/17/2026,RAEEs,27.35
472,191,PV033,11/19/2025,Residuos Organicos,6.76
473,75,PV009,7/14/2025,Capsulas de Café,0.19
474,67,PV024,12/4/2025,Metal,36.55
475,73,PV032,4/8/2026,Vidrio,1.49
476,129,PV039,4/9/2026,Textiles,4.0
477,115,PV001,11/19/2025,Capsulas de Café,35.79
478,63,PV032,1/19/2026,RAEEs,34.19
479,152,PV017,12/6/2025,Residuos Organicos,39.08
480,21,PV036,8/5/2025,Metal,16.89
481,145,PV024,4/24/2026,Chatarra,1.95
482,196,PV012,9/24/2025,Carton,29.89
483,64,PV005,11/6/2025,Textiles,25.66
484,137,PV030,9/14/2025,Aceite Vegetal Usado,7.22
485,27,PV028,3/14/2026,Metal,21.49
486,5,PV013,7/20/2025,RAEEs,35.31
487,101,PV021,3/1/2026,Residuos Organicos,27.21
488,44,PV020,10/7/2025,Aceite Vegetal Usado,20.96
489,85,PV019,10/30/2025,Latas,4.67
490,77,PV036,11/13/2025,Chatarra,34.3
491,66,PV043,4/20/2026,Vidrio,29.08
492,25,PV011,10/29/2025,RAEEs,5.43
493,168,PV040,11/25/2025,Textiles,35.15
494,169,PV040,12/17/2025,RAEEs,15.33
495,130,PV009,8/21/2025,Latas,13.92
496,74,PV002,3/27/2026,Textiles,14.78
497,112,PV045,5/26/2026,Carton,10.48
498,103,PV024,3/7/2026,RAEEs,36.81
499,21,PV005,10/20/2025,Telgopor,19.48
500,78,PV012,1/6/2026,Textiles,0.76
